GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age
P100001061353,Azerbaijan Metal Company Shamkir HBI plant,Azerbaijan Metal Company LLC,Azerbaijan,Eurasia,40.8217502,46.0170067,,
P100000120605,Azna Steel Lorestan plant,Azna Steel,Iran,Middle East,33.464353,49.391373,,5.97
P100000120907,Azovstal Iron and Steel Works,MK Azovstal' PrAT,Ukraine,Europe,47.094724,37.596862,,
P100000120606,Bafgh Mineral Complex Iron and Steel Yazd plant,Bafgh Mineral Complex Iron & Steel Co,Iran,Middle East,31.699307,55.440187,1200.0,5.0
P100000120384,Baicheng Fuda Bar Rolling Co Ltd,Baicheng Fuda Bar Rolling Co Ltd,China,Asia Pacific,45.593303,122.895588,788.0,16.31
P100000120016,Baku Steel Company steel plant,Baku Steel Company QSC,Azerbaijan,Eurasia,40.43136,49.886867,800.0,25.0
P100000120817,Balakovo Steel Plant,MZ Balakovo JSC,Russia,Eurasia,51.936009,47.81591,1250.0,13.0
P100001023581,Baldota Koppal steel plant,Baldota Steel and Power Ltd,India,Asia Pacific,15.332616,76.206778,,0.0
P100000120864,Bangkok Steel Industry Samut Prakan steel plant,Bangkok Steel Industry PCL,Thailand,Asia Pacific,13.647672,100.553882,600.0,62.0
P100000120256,Baoshan Iron and Steel Co Ltd Headquarters,Baoshan Iron & Steel Co Ltd,China,Asia Pacific,31.41623,121.440087,19800.0,49.0
P100000120779,BaoSteel and SteelAsia Philippines steel plant,SteelAsia Manufacturing Corp,Philippines,Asia Pacific,12.585909,123.207423,,
P100000120336,Baosteel Desheng Stainless Steel Co Ltd,Baosteel Desheng Stainless Steel Co Ltd,China,Asia Pacific,26.48747,119.654461,3220.0,15.0
P100000120289,Baosteel Group Xinjiang Bayi Iron and Steel Co Ltd,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,China,Asia Pacific,43.852147,87.304639,7300.0,30.34
P100000120257,Baosteel Special Steel Co Ltd,Baosteel Special Metals Co Ltd,China,Asia Pacific,31.379422,121.484652,,65.41
P100000120085,Baosteel Zhanjiang Iron and Steel Co Ltd,Baosteel Zhanjiang Iron & Steel Co Ltd,China,Asia Pacific,21.056035,110.48657,14328.0,15.0
P100000121076,Baotou Baoxin Special Steel Co Ltd,Baotou Baoxin Special Steel Co Ltd,China,Asia Pacific,41.362925,110.988771,,17.39
